STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/28/1990,60,80,7.38,1151,447,0,0,0,,62,34,,240,,,270,,12.1,,,16.1,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/29/1990,90,100,8.72,2350,2331,0.37,0,0,,49,35,,310,,,315,,25.9,,,38,1,,,,,,,,,,,1,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/30/1990,60,90,8.05,2350,24,0,0,0,,51,33,,310,,,315,,25.9,,,36.7,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",1/31/1990,0,0,3.8,751,318,0,0,0,,61,26,,20,,,360,,10.1,,,11.4,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/1/1990,40,40,2.91,1650,1652,0,0,0,,67,26,,130,,,135,,12.1,,,11.4,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/2/1990,80,90,6.71,1453,1448,0,0,0,,75,41,,240,,,225,,17.9,,,30,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/3/1990,90,100,4.03,2050,1425,0.6,0,0,,61,46,,170,,,135,,8.9,,,13.9,1,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/4/1990,80,90,8.95,1550,1538,0.11,0,0,,66,38,,320,,,315,,29.1,,,47.2,1,,,,,,,,,,,1,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/5/1990,0,0,6.26,50,44,0,0,0,,54,30,,330,,,315,,12.1,,,23,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/6/1990,50,50,6.04,1655,1107,0,0,0,,67,28,,150,,,270,,12.1,,,16.1,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/7/1990,70,60,6.93,1250,1142,0.06,0,0,,57,39,,300,,,315,,23,,,36.7,1,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/8/1990,20,20,4.7,1550,1620,0,0,0,,64,31,,140,,,180,,12.1,,,15,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/9/1990,80,100,5.59,2251,1529,0,0,0,,68,36,,160,,,180,,12.1,,,18.3,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/10/1990,80,90,7.38,1950,1240,0.4,0,0,,59,36,,310,,,315,,16.1,,,25.3,,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/11/1990,50,60,5.37,1854,1852,0,0,0,,54,27,,280,,,270,,16.1,,,20.8,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/12/1990,30,20,6.93,450,552,0.19,0,0,,50,31,,310,,,315,,17.9,,,28.9,1,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/13/1990,70,90,3.8,1450,1822,0,0,0,,67,26,,190,,,315,,16.1,,,21.9,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/14/1990,80,80,6.04,1550,1408,0,0,0,,73,54,,250,,,225,,8.9,,,17.2,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/15/1990,90,90,6.49,1450,1427,0,0,0,,72,51,,220,,,225,,15,,,27.5,,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/16/1990,90,100,5.59,2350,52,0.45,0,0,,69,56,,250,,,180,,10.1,,,19.5,1,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/17/1990,40,50,12.3,650,653,0,0,0,,58,28,,310,,,315,,25.9,,,36.7,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/18/1990,80,100,5.14,1350,1354,0.12,0,0,,43,26,,170,,,180,,8.9,,,12.8,,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/19/1990,90,90,7.83,1052,1203,0.19,0,0,,59,37,,280,,,315,,17,,,26.4,1,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/20/1990,30,10,6.49,850,247,0,0,0,,52,32,,340,,,315,,14.1,,,18.3,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/21/1990,30,40,5.14,1450,1648,0,0,0,,55,24,,130,,,135,,15,,,16.1,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/22/1990,100,100,4.25,1450,2015,0.4,0,0,,54,42,,120,,,45,,8.9,,,12.8,1,,,,,,,,,,,1,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/23/1990,100,100,9.62,2252,2251,0.18,0,0,,65,40,,300,,,315,,28,,,50.6,1,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/24/1990,70,70,19.69,2250,2241,0.04,0,0,,45,23,,310,,,315,,31.1,,,47.2,,,,,,,,,,,,,,,,1,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/25/1990,20,30,15.66,2350,32,0,0,0,,26,14,,320,,,270,,30,,,42.5,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/26/1990,10,0,6.71,2150,1639,0,0,0,,36,9,,120,,,135,,10.1,,,12.8,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/27/1990,90,70,6.71,1850,1813,0.02,0.2,0,,62,26,,320,,,315,,16.1,,,21.9,,,,,,,,,,,,,,1,,1,,,,,
